date,total_passenger,commute_passenger,other_passenger,holiday_or_weekend
2023-01-18,4605035.0,1942196.0,2662839.0,0
2023-01-19,4558364.0,1900039.0,2658325.0,0
2023-01-20,4432112.0,1675857.0,2756255.0,0
2023-01-21,1950555.0,546798.0,1403757.0,1
2023-01-22,1523468.0,453036.0,1070432.0,1
2023-01-23,1839427.0,502077.0,1337350.0,1
2023-01-24,1668907.0,490473.0,1178434.0,1
2023-01-25,3967314.0,1766856.0,2200458.0,0
2023-01-26,4627925.0,2034277.0,2593648.0,0
2023-01-27,4555164.0,1935280.0,2619884.0,0
2023-01-28,3137018.0,917492.0,2219526.0,1
2023-01-29,2383823.0,684380.0,1699443.0,1
2023-01-30,4372037.0,1894336.0,2477701.0,0
2023-01-31,4443558.0,1905413.0,2538145.0,0
2023-02-01,4522727.0,1954506.0,2568221.0,0
2023-02-02,4590500.0,1946983.0,2643517.0,0
2023-02-03,4660869.0,1948848.0,2712021.0,0
2023-02-04,3375827.0,984797.0,2391030.0,1
2023-02-05,2507069.0,722990.0,1784079.0,1
2023-02-06,4416116.0,1926392.0,2489724.0,0
2023-02-07,4528417.0,1960584.0,2567833.0,0
2023-02-08,4591781.0,1970146.0,2621635.0,0
2023-02-09,4553309.0,1929908.0,2623401.0,0
2023-02-10,4630147.0,1930821.0,2699326.0,0
2023-02-11,3399540.0,990064.0,2409476.0,1
2023-02-12,2493862.0,712848.0,1781014.0,1
2023-02-13,4365822.0,1878338.0,2487484.0,0
2023-02-14,4551674.0,1945533.0,2606141.0,0
2023-02-15,4561092.0,1931782.0,2629310.0,0
2023-02-16,4520663.0,1911566.0,2609097.0,0
2023-02-17,4598920.0,1877239.0,2721681.0,0
2023-02-18,3311134.0,962977.0,2348157.0,1
2023-02-19,2537723.0,738502.0,1799221.0,1
2023-02-20,4427259.0,1912311.0,2514948.0,0
2023-02-21,4505093.0,1938833.0,2566260.0,0
2023-02-22,4565921.0,1936681.0,2629240.0,0
2023-02-23,4551336.0,1914582.0,2636754.0,0
2023-02-24,4671122.0,1906220.0,2764902.0,0
2023-02-25,3430319.0,1011611.0,2418708.0,1
2023-02-26,2598120.0,763533.0,1834587.0,1
2023-02-27,4450304.0,1882436.0,2567868.0,0
2023-02-28,4578444.0,1902435.0,2676009.0,0
2023-03-01,2816517.0,833502.0,1983015.0,1
2023-03-02,4851473.0,2067659.0,2783814.0,0
2023-03-03,4843959.0,2045220.0,2798739.0,0
2023-03-04,3404391.0,1008222.0,2396169.0,1
2023-03-05,2592818.0,758588.0,1834230.0,1
2023-03-06,4716151.0,2065251.0,2650900.0,0
2023-03-07,4800322.0,2098113.0,2702209.0,0
2023-03-08,4811280.0,2082295.0,2728985.0,0
2023-03-09,4775968.0,2088457.0,2687511.0,0
2023-03-10,4899169.0,2053880.0,2845289.0,0
2023-03-11,3526487.0,1043754.0,2482733.0,1
2023-03-12,2374062.0,725106.0,1648956.0,1
2023-03-13,4687175.0,2071243.0,2615932.0,0
2023-03-14,4816420.0,2106418.0,2710002.0,0
2023-03-15,4822693.0,2085250.0,2737443.0,0
2023-03-16,4836396.0,2090932.0,2745464.0,0
2023-03-17,4863733.0,2031602.0,2832131.0,0
2023-03-18,3543086.0,1055210.0,2487876.0,1
2023-03-19,2665211.0,781178.0,1884033.0,1
2023-03-20,4710175.0,2058762.0,2651413.0,0
2023-03-21,4823728.0,2100970.0,2722758.0,0
2023-03-22,4834616.0,2067447.0,2767169.0,0
2023-03-23,4812914.0,2080704.0,2732210.0,0
2023-03-24,4931574.0,2047722.0,2883852.0,0
2023-03-25,3616829.0,1078230.0,2538599.0,1
2023-03-26,2792761.0,822748.0,1970013.0,1
2023-03-27,4744949.0,2064997.0,2679952.0,0
2023-03-28,4851148.0,2103425.0,2747723.0,0
