,Date,Fine_dust(㎍/㎥),Precipitation(mm),Snow_depth(cm),Day_type,Season,Year,FD_Grade,P_Grade,S_Grade,Snow_depth(mm)
222,2021-08-11,39.0,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
223,2021-08-12,37.0,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
224,2021-08-13,29.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
225,2021-08-14,16.0,0.0,0.0,Weekend,Summer,2021,Good,Dry,No_Snow,0.0
226,2021-08-15,18.0,0.0,0.0,Weekend,Summer,2021,Good,Dry,No_Snow,0.0
227,2021-08-16,23.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
228,2021-08-17,22.0,9.3,0.0,Weekday,Summer,2021,Good,Light,No_Snow,0.0
229,2021-08-18,19.0,5.6,0.0,Weekday,Summer,2021,Good,Light,No_Snow,0.0
230,2021-08-19,18.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
231,2021-08-20,24.0,0.0,0.0,Weekday,Summer,2021,Good,Dry,No_Snow,0.0
232,2021-08-21,23.0,62.8,0.0,Weekend,Summer,2021,Good,Heavy,No_Snow,0.0
233,2021-08-22,28.0,0.0,0.0,Weekend,Summer,2021,Good,Dry,No_Snow,0.0
234,2021-08-23,36.0,7.4,0.0,Weekday,Summer,2021,Normal,Light,No_Snow,0.0
235,2021-08-24,19.0,10.5,0.0,Weekday,Summer,2021,Good,Moderate,No_Snow,0.0
236,2021-08-25,21.0,0.3,0.0,Weekday,Summer,2021,Good,Light,No_Snow,0.0
237,2021-08-26,48.0,0.7,0.0,Weekday,Summer,2021,Normal,Light,No_Snow,0.0
238,2021-08-27,36.0,0.9,0.0,Weekday,Summer,2021,Normal,Light,No_Snow,0.0
239,2021-08-28,45.0,0.0,0.0,Weekend,Summer,2021,Normal,Dry,No_Snow,0.0
240,2021-08-29,42.0,0.9,0.0,Weekend,Summer,2021,Normal,Light,No_Snow,0.0
241,2021-08-30,46.0,0.0,0.0,Weekday,Summer,2021,Normal,Dry,No_Snow,0.0
242,2021-08-31,37.0,77.4,0.0,Weekday,Summer,2021,Normal,Heavy,No_Snow,0.0
243,2021-09-01,9.0,0.8,0.0,Weekday,Fall,2021,Good,Light,No_Snow,0.0
244,2021-09-02,17.0,0.0,0.0,Weekday,Fall,2021,Good,Dry,No_Snow,0.0
245,2021-09-03,17.0,0.0,0.0,Weekday,Fall,2021,Good,Dry,No_Snow,0.0
246,2021-09-04,12.0,0.0,0.0,Weekend,Fall,2021,Good,Dry,No_Snow,0.0
247,2021-09-05,14.0,0.0,0.0,Weekend,Fall,2021,Good,Dry,No_Snow,0.0
248,2021-09-06,19.0,12.0,0.0,Weekday,Fall,2021,Good,Moderate,No_Snow,0.0
